symbol,timestamp,open,high,low,close,volume,amount,source_freq
600519.SH,2026-06-29 13:55:00,1193.53,1194.02,1191.16,1193.95,61630,73502485.0,5min
600519.SH,2026-06-29 14:00:00,1193.94,1194.27,1192.08,1192.55,46520,55493293.0,5min
600519.SH,2026-06-29 14:05:00,1192.2,1193.69,1191.01,1193.49,64725,77182146.0,5min
600519.SH,2026-06-29 14:10:00,1193.49,1193.86,1192.49,1192.49,49000,58480620.0,5min
600519.SH,2026-06-29 14:15:00,1192.47,1192.47,1190.39,1191.1,59000,70280489.0,5min
600519.SH,2026-06-29 14:20:00,1191.01,1191.02,1190.02,1190.07,53300,63449010.0,5min
600519.SH,2026-06-29 14:25:00,1190.08,1190.2,1188.41,1188.83,69900,83140446.0,5min
600519.SH,2026-06-29 14:30:00,1188.8,1190.52,1188.7,1190.52,51400,61144750.0,5min
600519.SH,2026-06-29 14:35:00,1190.57,1193.11,1190.57,1192.22,53000,63189413.0,5min
600519.SH,2026-06-29 14:40:00,1192.31,1192.41,1190.32,1190.47,50600,60273585.0,5min
600519.SH,2026-06-29 14:45:00,1190.78,1192.0,1190.3,1192.0,90450,107722395.0,5min
600519.SH,2026-06-29 14:50:00,1192.0,1192.0,1190.79,1191.94,88000,104829912.0,5min
600519.SH,2026-06-29 14:55:00,1192.0,1195.05,1191.95,1195.0,108005,128972657.0,5min
600519.SH,2026-06-29 15:00:00,1195.0,1195.05,1194.6,1194.96,106926,127771299.0,5min
600519.SH,2026-06-30 09:35:00,1187.0,1193.6,1185.4,1187.97,276446,328550749.0,5min
600519.SH,2026-06-30 09:40:00,1187.65,1188.86,1181.61,1184.6,174556,206900197.0,5min
600519.SH,2026-06-30 09:45:00,1184.6,1191.99,1184.6,1188.1,86800,103148950.0,5min
600519.SH,2026-06-30 09:50:00,1187.87,1187.9,1180.1,1180.22,159600,188734431.0,5min
600519.SH,2026-06-30 09:55:00,1180.22,1180.94,1177.71,1179.2,179950,212163116.0,5min
600519.SH,2026-06-30 10:00:00,1178.58,1179.98,1176.7,1178.0,110750,130493321.0,5min
600519.SH,2026-06-30 10:05:00,1178.48,1180.8,1177.6,1179.01,70795,83489449.0,5min
600519.SH,2026-06-30 10:10:00,1179.25,1179.26,1176.5,1177.46,85200,100301107.0,5min
600519.SH,2026-06-30 10:15:00,1177.03,1180.6,1176.0,1178.48,73600,86679497.0,5min
600519.SH,2026-06-30 10:20:00,1178.48,1180.79,1177.5,1178.8,51995,61294177.0,5min
600519.SH,2026-06-30 10:25:00,1178.08,1179.74,1177.49,1179.35,48410,57044554.0,5min
600519.SH,2026-06-30 10:30:00,1179.36,1182.84,1179.3,1179.95,54250,64039886.0,5min
600519.SH,2026-06-30 10:35:00,1180.31,1180.88,1179.01,1180.26,48130,56786722.0,5min
600519.SH,2026-06-30 10:40:00,1180.0,1180.04,1178.86,1179.86,35350,41700454.0,5min
600519.SH,2026-06-30 10:45:00,1179.89,1181.0,1178.02,1178.56,53050,62584146.0,5min
600519.SH,2026-06-30 10:50:00,1177.95,1179.94,1177.95,1179.6,54600,64370512.0,5min
600519.SH,2026-06-30 10:55:00,1179.56,1180.2,1178.0,1179.11,65000,76649424.0,5min
600519.SH,2026-06-30 11:00:00,1179.12,1180.06,1178.0,1178.11,51200,60352934.0,5min
600519.SH,2026-06-30 11:05:00,1178.1,1180.04,1178.09,1179.81,39000,45982648.0,5min
600519.SH,2026-06-30 11:10:00,1179.81,1179.84,1178.1,1179.49,37600,44330607.0,5min
600519.SH,2026-06-30 11:15:00,1179.49,1179.52,1178.46,1179.24,27500,32423171.0,5min
600519.SH,2026-06-30 11:20:00,1179.02,1181.9,1179.0,1181.07,31020,36601161.0,5min
600519.SH,2026-06-30 11:25:00,1181.04,1181.09,1177.53,1177.53,66800,78757934.0,5min
600519.SH,2026-06-30 11:30:00,1177.41,1177.41,1176.19,1176.3,49645,58429720.0,5min
600519.SH,2026-06-30 13:05:00,1176.26,1181.87,1176.26,1180.35,83321,98154324.0,5min
600519.SH,2026-06-30 13:10:00,1180.99,1184.0,1179.51,1184.0,64500,76183990.0,5min
600519.SH,2026-06-30 13:15:00,1184.5,1186.1,1181.12,1181.27,70700,83623124.0,5min
600519.SH,2026-06-30 13:20:00,1181.27,1182.94,1179.88,1180.82,63800,75350124.0,5min
600519.SH,2026-06-30 13:25:00,1180.81,1185.06,1179.32,1185.06,89700,105977932.0,5min
600519.SH,2026-06-30 13:30:00,1185.06,1192.05,1184.99,1188.45,211900,251864383.0,5min
600519.SH,2026-06-30 13:35:00,1188.13,1188.13,1183.37,1185.7,125600,149019901.0,5min
600519.SH,2026-06-30 13:40:00,1184.51,1187.28,1183.12,1185.83,61600,72965540.0,5min
600519.SH,2026-06-30 13:45:00,1185.83,1195.66,1185.83,1188.12,118108,140681069.0,5min
600519.SH,2026-06-30 13:50:00,1188.18,1189.64,1182.14,1182.67,101400,120243212.0,5min
600519.SH,2026-06-30 13:55:00,1182.16,1182.8,1180.1,1180.45,78600,92843254.0,5min
600519.SH,2026-06-30 14:00:00,1180.53,1180.8,1179.0,1180.24,92200,108797663.0,5min
600519.SH,2026-06-30 14:05:00,1180.26,1180.81,1179.68,1180.01,77000,90871824.0,5min
600519.SH,2026-06-30 14:10:00,1180.03,1180.74,1178.5,1178.79,66400,78320350.0,5min
